UNIX,EDA,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,Participant
1677829223,0.826608,0.826608,0.826898035,0.837937835,-0.011039799,0,0,0.0,0.0,0.0,0,0.0,P29
1677829223,1.098566,1.098566,1.07062028,0.835067433,0.235552847,0,1,0.235552847,,,0,0.0,P29
1677829224,0.718011,0.718011,0.761019768,0.832220857,-0.071201089,0,0,0.0,0.0,0.0,0,0.0,P29
1677829224,0.705195,0.705195,0.66239192,0.829404979,-0.167013059,0,0,0.0,0.0,0.0,0,0.0,P29
1677829224,0.60267,0.60267,0.637866111,0.826626621,-0.18876051,0,0,0.0,0.0,0.0,0,0.0,P29
1677829224,0.392494,0.392494,0.362085585,0.823892266,-0.46180668,0,0,0.0,0.0,0.0,0,0.0,P29
1677829225,0.277084,0.277084,0.308618719,0.821207768,-0.512589049,1,0,0.0,0.0,0.0,0,0.0,P29
1677829225,0.42959,0.42959,0.398056113,0.818578067,-0.420521954,0,0,0.0,0.0,0.0,0,0.0,P29
1677829225,0.525708,0.525708,0.544216,0.816007049,-0.271791049,0,0,0.0,0.0,0.0,0,0.0,P29
1677829225,0.696155,0.696155,0.710805186,0.813497675,-0.102692489,0,0,0.0,0.0,0.0,0,0.0,P29
1677829226,0.793554,0.793554,0.731103947,0.811052265,-0.079948318,0,0,0.0,0.0,0.0,0,0.0,P29
1677829226,0.84738,0.84738,0.953722513,0.808672796,0.145049716,0,1,0.145049716,0.657638765,0.625,0,0.0,P29
1677829226,0.975536,0.975536,0.851825493,0.806361168,0.045464325,0,0,0.0,0.0,0.0,0,0.0,P29
1677829226,0.0,0.0,0.102029704,0.804119266,-0.702089562,0,0,0.0,0.0,0.0,0,0.0,P29
1677829227,0.037165,0.037165,-0.010990744,0.801948555,-0.812939299,1,0,0.0,0.0,0.0,0,0.0,P29
1677829227,0.538256,0.538256,0.523089702,0.799849396,-0.276759693,0,0,0.0,0.0,0.0,0,0.0,P29
1677829227,0.749714,0.749714,0.812656034,0.79782085,0.014835184,0,0,0.0,0.0,0.0,0,0.0,P29
1677829227,1.056275,1.056275,0.975208268,0.795861182,0.179347086,0,0,0.0,0.0,0.0,0,0.0,P29
1677829228,0.903838,0.903838,0.974660146,0.793968514,0.180691631,0,1,0.180691631,0.99363093,0.5,0,0.0,P29
1677829228,0.891022,0.891022,0.846568623,0.792141216,0.054427407,0,0,0.0,0.0,0.0,0,0.0,P29
1677829228,0.83976,0.83976,0.856434957,0.790377966,0.066056991,0,0,0.0,0.0,0.0,0,0.0,P29
1677829228,0.851294,0.851294,0.853716947,0.788677676,0.065039271,0,0,0.0,0.0,0.0,0,0.0,P29
1677829229,0.843604,0.843604,0.833624209,0.787039422,0.046584787,0,0,0.0,0.0,0.0,0,0.0,P29
1677829229,0.837196,0.837196,0.84594498,0.785462421,0.06048256,0,0,0.0,0.0,0.0,0,0.0,P29
1677829229,0.816691,0.816691,0.813062538,0.78394602,0.029116517,0,0,0.0,0.0,0.0,0,0.0,P29
1677829229,0.796186,0.796186,0.794911893,0.782489679,0.012422215,0,0,0.0,0.0,0.0,0,0.0,P29
1677829230,0.793623,0.793623,0.797525063,0.781092933,0.01643213,0,0,0.0,0.0,0.0,0,0.0,P29
1677829230,0.783371,0.783371,0.77932457,0.779755368,-0.000430798,0,0,0.0,0.0,0.0,0,0.0,P29
